exposure_mode,species,model,parameter,perturbation,endpoint,baseline,perturbed,abs_change,pct_change,elasticity,censored
per_mic,Mtb,two-compartment mechanistic,k_PS,-10%,MDK99_h,48.54654805819832,48.71282593542554,0.16627787722722331,0.34251225654167405,-0.03425122565416742,False
per_mic,S. aureus,two-compartment mechanistic,r,+10%,log10_drop_240h,306.0,306.0,0.0,0.0,0.0,False
per_mic,S. aureus,two-compartment mechanistic,r,+10%,time_to_LOD_h,18.994289893679966,19.749577524204582,0.7552876305246166,3.976393088408775,0.39763930884087717,False
per_mic,S. aureus,two-compartment mechanistic,r,+10%,MDK99_h,8.869793023801135,9.327350566661643,0.4575575428605081,5.158604508951919,0.5158604508951914,False
per_mic,S. aureus,two-compartment mechanistic,r,-10%,log10_drop_240h,306.0,306.0,0.0,0.0,-0.0,False
per_mic,S. aureus,two-compartment mechanistic,r,-10%,time_to_LOD_h,18.994289893679966,18.412122604785775,-0.5821672888941904,-3.0649594807326643,0.3064959480732665,False
per_mic,S. aureus,two-compartment mechanistic,r,-10%,MDK99_h,8.869793023801135,8.515524838347327,-0.3542681854538081,-3.994097545491395,0.3994097545491396,False
per_mic,S. aureus,two-compartment mechanistic,Emax_S,+10%,log10_drop_240h,306.0,306.0,0.0,0.0,0.0,False
per_mic,S. aureus,two-compartment mechanistic,Emax_S,+10%,time_to_LOD_h,18.994289893679966,16.952788507603746,-2.04150138607622,-10.747974246489182,-1.0747974246489174,False
per_mic,S. aureus,two-compartment mechanistic,Emax_S,+10%,MDK99_h,8.869793023801135,7.765063068088519,-1.1047299557126156,-12.454968822250887,-1.2454968822250876,False
per_mic,S. aureus,two-compartment mechanistic,Emax_S,-10%,log10_drop_240h,306.0,14.397693666817654,-291.60230633318236,-95.29487135071318,9.52948713507132,False
per_mic,S. aureus,two-compartment mechanistic,Emax_S,-10%,time_to_LOD_h,18.994289893679966,21.882144177779995,2.8878542841000296,15.203802301979792,-1.5203802301979794,False
per_mic,S. aureus,two-compartment mechanistic,Emax_S,-10%,MDK99_h,8.869793023801135,10.42763960294217,1.5578465791410352,17.563505427474144,-1.7563505427474149,False
per_mic,S. aureus,two-compartment mechanistic,Emax_P,+10%,log10_drop_240h,306.0,306.0,0.0,0.0,0.0,False
per_mic,S. aureus,two-compartment mechanistic,Emax_P,+10%,time_to_LOD_h,18.994289893679966,18.92921229723611,-0.06507759644385658,-0.34261663272555437,-0.03426166327255541,False
per_mic,S. aureus,two-compartment mechanistic,Emax_P,+10%,MDK99_h,8.869793023801135,8.869113056831786,-0.0006799669693489108,-0.007666097365793008,-0.0007666097365793001,False
per_mic,S. aureus,two-compartment mechanistic,Emax_P,-10%,log10_drop_240h,306.0,306.0,0.0,0.0,-0.0,False
per_mic,S. aureus,two-compartment mechanistic,Emax_P,-10%,time_to_LOD_h,18.994289893679966,19.063185730506863,0.06889583682689704,0.36271867604706287,-0.0362718676047063,False
per_mic,S. aureus,two-compartment mechanistic,Emax_P,-10%,MDK99_h,8.869793023801135,8.870488027487756,0.0006950036866211207,0.007835624627949638,-0.000783562462794964,False
per_mic,S. aureus,two-compartment mechanistic,EC50,+10%,log10_drop_240h,306.0,306.0,0.0,0.0,0.0,False
per_mic,S. aureus,two-compartment mechanistic,EC50,+10%,time_to_LOD_h,18.994289893679966,18.994289893680502,5.364597654988756e-13,2.8243212486578596e-12,2.824321248657857e-13,False
per_mic,S. aureus,two-compartment mechanistic,EC50,+10%,MDK99_h,8.869793023801135,8.869793023801016,-1.1901590823981678e-13,-1.3418115611091534e-12,-1.3418115611091522e-13,False
per_mic,S. aureus,two-compartment mechanistic,EC50,-10%,log10_drop_240h,306.0,306.0,0.0,0.0,-0.0,False
per_mic,S. aureus,two-compartment mechanistic,EC50,-10%,time_to_LOD_h,18.994289893679966,18.99428989368017,2.0250467969162855e-13,1.0661345110827682e-12,-1.0661345110827684e-13,False
per_mic,S. aureus,two-compartment mechanistic,EC50,-10%,MDK99_h,8.869793023801135,8.869793023801385,2.504663143554353e-13,2.823812389796875e-12,-2.8238123897968754e-13,False
per_mic,S. aureus,two-compartment mechanistic,H,+10%,log10_drop_240h,306.0,306.0,0.0,0.0,0.0,False
per_mic,S. aureus,two-compartment mechanistic,H,+10%,time_to_LOD_h,18.994289893679966,18.016494084556502,-0.9777958091234638,-5.147840822671707,-0.5147840822671703,False
per_mic,S. aureus,two-compartment mechanistic,H,+10%,MDK99_h,8.869793023801135,8.39566841325706,-0.4741246105440755,-5.34538527868478,-0.5345385278684776,False
per_mic,S. aureus,two-compartment mechanistic,H,-10%,log10_drop_240h,306.0,306.0,0.0,0.0,-0.0,False
per_mic,S. aureus,two-compartment mechanistic,H,-10%,time_to_LOD_h,18.994289893679966,20.150046831435372,1.155756937755406,6.08475991587327,-0.6084759915873271,False
per_mic,S. aureus,two-compartment mechanistic,H,-10%,MDK99_h,8.869793023801135,9.487886437959697,0.6180934141585617,6.96852127777925,-0.6968521277779253,False
per_mic,S. aureus,two-compartment mechanistic,k_SP,+10%,log10_drop_240h,306.0,13.62005591536926,-292.3799440846307,-95.54900133484665,-9.554900133484656,False
per_mic,S. aureus,two-compartment mechanistic,k_SP,+10%,time_to_LOD_h,18.994289893679966,19.143568956817308,0.1492790631373424,0.7859154723494692,0.07859154723494687,False
per_mic,S. aureus,two-compartment mechanistic,k_SP,+10%,MDK99_h,8.869793023801135,8.873084729796293,0.0032917059951582672,0.03711141834229196,0.003711141834229193,False
