exposure_mode,species,endpoint,parameter,S1_first_order,S1_boot_lo,S1_boot_hi,ST_boot_lo,ST_boot_hi,ST_total,interaction_ST_minus_S1,output_variance,n_base_samples
absolute,Mtb,log10_drop_240h,k_PS,0.7362580265290996,0.37542616403108753,1.1267486907626283,0.7100764778422112,0.7654081015179675,0.7372880973010261,0.0010300707719265167,0.13439148723743197,4096
absolute,Mtb,time_to_LOD_h,r,0.02667276781640581,0.00014588646207324676,0.052899581451313925,0.030029086506398402,0.03351624356936912,0.03176082842994514,0.005088060613539329,9605.325238906455,4096
absolute,Mtb,time_to_LOD_h,Emax_S,0.011235816207249671,-0.00636030747376826,0.029957870315673096,0.011962805566328272,0.013437747800028706,0.012668187246061263,0.001432371038811591,9605.325238906455,4096
absolute,Mtb,time_to_LOD_h,Emax_P,0.054071487864898786,0.013715940000624339,0.09464218582311335,0.0649915373356022,0.0733632845707672,0.06896655192226375,0.014895064057364966,9605.325238906455,4096
absolute,Mtb,time_to_LOD_h,EC50,0.016209270608398756,-0.006219874598332242,0.03785676005121784,0.01962226105641146,0.02228811548583605,0.020929566006348675,0.004720295397949919,9605.325238906455,4096
absolute,Mtb,time_to_LOD_h,H,0.004298120860786288,-0.006283741676336389,0.0156613225354593,0.00518992340226119,0.00592555461126429,0.005544846807862887,0.0012467259470765992,9605.325238906455,4096
absolute,Mtb,time_to_LOD_h,k_SP,0.09260766410771647,0.044756937413298246,0.14170478335103437,0.0939254042608185,0.10359916938113838,0.09877752540472473,0.006169861297008264,9605.325238906455,4096
absolute,Mtb,time_to_LOD_h,k_PS,0.7643885354084243,0.6159060306493181,0.9038746047444927,0.7611298149872975,0.823381754520364,0.7917953653828588,0.027406829974434443,9605.325238906455,4096
absolute,Mtb,MDK99_h,r,0.020194789926431936,-0.0014392666147586195,0.04285871983392078,0.03470944285051812,0.041485201618191504,0.03794086498573082,0.017746075059298885,182.0000797741335,4096
absolute,Mtb,MDK99_h,Emax_S,0.8684233417665288,0.7493138503903835,0.9892333195306823,0.8625049911976398,0.9366405488914762,0.8998267667046063,0.03140342493807746,182.0000797741335,4096
absolute,Mtb,MDK99_h,Emax_P,1.7812232151949897e-05,-0.0006088181103250749,0.0006911919188538353,2.866590996689571e-05,3.5180850494967434e-05,3.166300379257435e-05,1.3850771640624456e-05,182.0000797741335,4096
absolute,Mtb,MDK99_h,EC50,0.02312141944329138,0.0024824988233729216,0.04328581795944836,0.029441443687450157,0.03381422240196741,0.03161097492543441,0.00848955548214303,182.0000797741335,4096
absolute,Mtb,MDK99_h,H,0.05023060388720474,0.021082779012061785,0.0802279242940347,0.059308370144819315,0.06723159202887788,0.06317641423219694,0.012945810344992204,182.0000797741335,4096
absolute,Mtb,MDK99_h,k_SP,0.00264206748394454,-0.004051487063624908,0.008964036427055094,0.002969557282023514,0.0033856929477391173,0.003173197804391869,0.0005311303204473291,182.0000797741335,4096
absolute,Mtb,MDK99_h,k_PS,0.0008391520909305959,-0.002692836139248945,0.004185752865753039,0.0008020434634717379,0.0009531575095138327,0.000872583329319991,3.343123838939514e-05,182.0000797741335,4096
absolute,S. aureus,log10_drop_240h,r,0.01404465666636352,-0.03476650784448275,0.062287792054449134,0.589512046344411,0.6452097580515095,0.6182905810805093,0.6042459244141457,21672.71873093076,4096
absolute,S. aureus,log10_drop_240h,Emax_S,0.017136075665460798,-0.032874100034855414,0.06911822641066453,0.6081449297941004,0.6649381472820146,0.6365736818601703,0.6194376061947094,21672.71873093076,4096
absolute,S. aureus,log10_drop_240h,Emax_P,0.01820848669071742,-0.021116032190494644,0.058789084107804715,0.4052399954852657,0.4524357874943398,0.42938943063772,0.4111809439470026,21672.71873093076,4096
absolute,S. aureus,log10_drop_240h,EC50,0.015544864460923685,-0.023736143059604985,0.05656869558618363,0.3862145992490889,0.436184257020751,0.4117242204978791,0.3961793560369554,21672.71873093076,4096
