alpha,replicate,simulation_id,final_mic,extinct
0.1,6,67,14.68870700381822,False
0.0001,7,72,17.029631780408177,False
0.03,6,66,17.82233895525314,False
0.03,7,76,9.26040862124643,False
0.8,5,59,9.094544950017625,False
5e-05,8,81,2.0,False
0.0001,6,62,21.24889164007485,False
0.3,6,68,11.62842489853572,False
5e-05,7,71,21.832616257806638,False
0.1,7,77,12.277714933418574,False
0.0009576,7,73,26.27225732198025,False
0.0009576,8,83,2.0,False
0.01,7,75,17.816022126661668,False
0.01,8,85,6.082241685530251,False
0.8,6,69,12.924282254442254,False
0.003,7,74,23.410966544109144,False
1e-05,8,80,19.853123098852386,False
0.0001,8,82,17.313775444571565,False
0.3,7,78,11.021722523685328,False
0.0009576,9,93,14.295475626362492,False
0.1,8,87,15.00141374409684,False
0.3,8,88,6.226139387186649,False
0.8,7,79,5.966256658415281,False
5e-05,9,91,22.741046147542214,False
0.03,8,86,22.00174970643766,False
0.003,8,84,26.802227952781223,False
0.0001,9,92,15.478020079889356,False
0.01,9,95,12.567574607406254,False
0.1,9,97,8.44578479660738,False
0.8,8,89,6.0288886251493174,False
0.03,9,96,15.893303093825896,False
0.003,10,104,14.99105766666137,False
1e-05,9,90,20.85106226323688,False
0.003,9,94,21.998641507777016,False
1e-05,11,110,2.0,False
0.0009576,10,103,12.20767042187742,False
1e-05,10,100,18.23755446989111,False
0.3,9,98,15.395069070751154,False
0.03,10,106,15.889625087254146,False
0.01,10,105,11.246599643320682,False
0.0001,11,112,10.747865594103702,False
5e-05,11,111,21.36214165623801,False
0.0009576,11,113,12.737846217659126,False
5e-05,10,101,19.874495772677154,False
0.1,10,107,9.426257969533257,False
0.8,9,99,25.87560235243913,False
0.0001,10,102,15.739140912810281,False
0.003,11,114,18.074429912601722,False
0.0001,12,122,2.0,False
0.01,11,115,17.7037334248337,False
1e-05,12,120,10.73353546168871,False
0.3,10,108,15.485360237712104,False
0.03,11,116,14.911851034725945,False
0.1,11,117,18.415798135850164,False
0.03,12,126,2.0,False
0.8,10,109,7.732186931671759,False
0.0009576,12,123,14.164676024329587,False
1e-05,13,130,9.358495534485462,False
0.003,12,124,15.669696328164804,False
0.3,11,118,12.136478322382539,False
5e-05,13,131,17.125933754395838,False
0.0009576,13,133,9.620079332923787,False
0.01,12,125,13.676247200692242,False
0.1,12,127,13.81265050334865,False
0.003,13,134,10.361415635847155,False
0.8,11,119,7.858471177292062,False
0.3,12,128,8.238032366863234,False
5e-05,12,121,23.86517197811589,False
0.0001,13,132,23.998809184595032,False
0.03,13,136,22.911422023889788,False
0.1,13,137,6.298053346562296,False
0.8,12,129,7.559845887035888,False
1e-05,14,140,18.559075318903815,False
0.3,13,138,11.021600752908359,False
0.01,13,135,19.03143948279085,False
5e-05,14,141,23.26302913456047,False
0.01,14,145,13.537451103998336,False
0.0001,14,142,21.34306085158544,False
5e-05,15,151,2.0,False
0.03,14,146,14.026804447970052,False
0.8,13,139,14.243622029533377,False
0.1,14,147,14.144960970459518,False
0.0009576,15,153,10.868373189903274,False
1e-05,15,150,13.844612914966262,False
0.0009576,14,143,25.91707855732896,False
0.0001,15,152,11.299300984957586,False
0.003,14,144,16.44054166414196,False
0.3,14,148,11.37359249906811,False
5e-05,16,161,2.0,False
0.01,15,155,21.81911338715334,False
0.003,16,164,8.362581323702038,False
0.8,14,149,8.026748336742148,False
0.1,15,157,13.853799848261371,False
0.0001,16,162,15.961006789528827,False
0.003,15,154,26.92643889307451,False
0.03,15,156,19.956560237984505,False
0.3,15,158,6.5010761324453545,False
0.0009576,16,163,12.579810096536054,False
1e-05,16,160,22.235009301919444,False
0.03,16,166,18.47568844594295,False
5e-05,17,171,10.017845486555625,False
0.01,16,165,20.22413717881674,False
0.1,16,167,13.707886784041664,False
0.003,17,174,18.20965753925855,False
0.8,15,159,12.989096086746269,False
0.01,17,175,9.578733218443384,False
0.0009576,17,173,17.243536358413976,False
0.3,16,168,8.154952612462196,False
0.0001,18,182,11.623899657682818,False
1e-05,17,170,20.504056251304466,False
0.0001,17,172,22.05122659854815,False
0.8,16,169,9.691345574881073,False
0.0009576,18,183,15.341774330344478,False
0.03,17,176,21.428748418781097,False
0.003,18,184,16.117014453643517,False
0.3,17,178,14.38062982079698,False
0.1,17,177,19.068503344104705,False
1e-05,18,180,23.05064413197208,False
5e-05,18,181,20.36403927566539,False
0.0001,19,192,13.569112119945913,False
0.03,18,186,13.955781953988275,False
0.8,17,179,9.265877872659065,False
0.1,18,187,12.436790577927573,False
0.01,18,185,15.058129258303826,False
0.003,19,194,2.0,False
0.3,18,188,16.314057947562855,False
1e-05,19,190,17.00319905979423,False
