scenario,arm,alpha,replicate,simulation_id,final_mic,average_mic_day_12,extinct,seed
authors,high,0.8,18,72,6.9808793315492865,7.7623519973501995,False,20260975
authors,high,0.8,19,76,16.038792674121357,16.00567769502425,False,20260979
implied,high,0.9999999999452872,18,74,15.374270834389003,9.428069434739044,False,20260977
implied,high,0.9999999999452872,19,78,8.60228889818095,7.482321258960469,False,20260981
implied,low,0.0009576114603262,19,79,15.156901993499908,17.61962396508341,False,20260982
implied,low,0.0009576114603262,23,87,16.52081365624153,16.505326470015056,False,20260990
implied,low,0.0009576114603262,25,91,12.958167194114633,12.987334258566957,False,20260994
authors,low,5e-05,27,94,9.839781680557728,9.924159332952202,False,20260997
implied,low,0.0009576114603262,22,85,19.107426236703073,19.116961222130765,False,20260988
authors,low,5e-05,24,88,13.880731465441182,13.943842832115777,False,20260991
authors,low,5e-05,23,86,23.961038393148144,23.936716987411273,False,20260989
authors,low,5e-05,22,84,15.323670322790015,17.08738490672358,False,20260987
authors,low,5e-05,21,82,15.563952952641735,19.729561992131003,False,20260985
authors,low,5e-05,31,102,12.012464167191458,12.009225526177163,False,20261005
authors,low,5e-05,25,90,13.672370890518334,16.65506078799568,False,20260993
implied,low,0.0009576114603262,30,101,2.0,2.0052229596168942,False,20261004
implied,low,0.0009576114603262,24,89,25.659079210935232,22.451684811753285,False,20260992
implied,low,0.0009576114603262,26,93,12.828433033466096,15.885661025870439,False,20260996
authors,low,5e-05,32,104,18.555335208586,18.556114238593644,False,20261007
authors,low,5e-05,30,100,11.61661229488709,16.231545325427145,False,20261003
authors,low,5e-05,26,92,18.196012903216634,18.249365238340097,False,20260995
implied,low,0.0009576114603262,32,105,14.472124647724351,14.440798020473254,False,20261008
implied,low,0.0009576114603262,27,95,29.083043496126816,29.046294012935146,False,20260998
implied,low,0.0009576114603262,28,97,18.915380958677993,17.207476068210752,False,20261000
authors,low,5e-05,34,108,9.684804058204936,9.685114605759708,False,20261011
implied,low,0.0009576114603262,31,103,12.532152899128693,13.054352919703389,False,20261006
authors,low,5e-05,28,96,21.59995272026478,21.07173741771448,False,20260999
implied,low,0.0009576114603262,33,107,13.230532884060636,13.249094442601082,False,20261010
implied,low,0.0009576114603262,34,109,13.473765704738767,13.474785192219754,False,20261012
authors,low,5e-05,38,116,13.613779282419419,13.614119427878977,False,20261019
implied,low,0.0009576114603262,35,111,10.748805232414881,10.777194929538588,False,20261014
authors,low,5e-05,29,98,18.34894882716232,18.704599915452274,False,20261001
implied,low,0.0009576114603262,37,115,11.377238466300932,11.468668926777786,False,20261018
implied,low,0.0009576114603262,29,99,21.67933454680052,21.25614673953512,False,20261002
authors,low,5e-05,35,110,18.873130150818746,18.131565689482358,False,20261013
implied,low,0.0009576114603262,38,117,18.607702237078954,18.502418328773203,False,20261020
authors,low,5e-05,36,112,13.763616296889742,14.170563169696088,False,20261015
authors,low,5e-05,33,106,27.54613034427268,26.878765499521297,False,20261009
authors,low,5e-05,37,114,18.0068038181715,19.65831421255283,False,20261017
authors,low,5e-05,39,118,16.499739693825532,19.115148651873188,False,20261021
implied,low,0.0009576114603262,36,113,23.028755014809988,21.270128202492423,False,20261016
implied,low,0.0009576114603262,39,119,16.588636500426322,16.7130909080967,False,20261022
