Time,Temp,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9
06:40:00,37,0.086,0.087,0.089,0.094,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.089,0.087,0.09,0.088,0.086,0.087,0.088,0.088,0.09,0.089,0.089,0.088,0.086,0.087,0.087,0.088,0.091,0.09,0.089,0.087,0.088,0.089,0.091,0.091,0.093,0.092,0.091,0.089,0.092,0.092,0.095,0.097,0.098,0.097,0.095,0.093,0.202,0.239,0.252,0.287,0.309,0.242,0.231,0.195,0.393,0.393,0.399,0.429,0.461,0.453,0.485,0.424,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
07:00:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.089,0.087,0.09,0.088,0.086,0.087,0.088,0.088,0.09,0.089,0.089,0.087,0.086,0.087,0.086,0.088,0.091,0.09,0.089,0.087,0.088,0.088,0.09,0.091,0.091,0.092,0.091,0.089,0.092,0.091,0.094,0.096,0.096,0.096,0.094,0.092,0.214,0.266,0.27,0.319,0.333,0.254,0.246,0.204,0.444,0.462,0.446,0.494,0.542,0.533,0.552,0.494,0.087,0.086,0.086,0.086,0.089,0.088,0.089,0.087
07:20:00,36.9,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.091,0.088,0.087,0.087,0.088,0.088,0.091,0.089,0.09,0.088,0.086,0.087,0.087,0.088,0.091,0.091,0.089,0.087,0.088,0.088,0.09,0.09,0.092,0.092,0.091,0.088,0.092,0.091,0.094,0.095,0.096,0.095,0.094,0.092,0.22,0.286,0.287,0.344,0.363,0.259,0.257,0.21,0.513,0.505,0.501,0.559,0.617,0.59,0.595,0.555,0.088,0.087,0.087,0.087,0.089,0.089,0.089,0.087
07:40:00,37,0.086,0.087,0.089,0.094,0.087,0.088,0.087,0.087,0.087,0.087,0.086,0.086,0.09,0.088,0.091,0.088,0.087,0.087,0.088,0.088,0.091,0.089,0.09,0.088,0.086,0.087,0.086,0.088,0.091,0.091,0.089,0.087,0.088,0.088,0.09,0.09,0.092,0.092,0.091,0.088,0.091,0.09,0.093,0.095,0.095,0.095,0.093,0.091,0.227,0.294,0.296,0.368,0.389,0.272,0.264,0.217,0.572,0.547,0.558,0.607,0.67,0.634,0.622,0.599,0.088,0.086,0.087,0.087,0.089,0.089,0.089,0.087
08:00:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.087,0.09,0.088,0.086,0.087,0.088,0.088,0.09,0.09,0.09,0.087,0.086,0.087,0.086,0.087,0.091,0.09,0.089,0.086,0.087,0.088,0.089,0.09,0.091,0.092,0.09,0.088,0.09,0.09,0.093,0.094,0.094,0.094,0.093,0.09,0.23,0.292,0.297,0.381,0.403,0.285,0.269,0.223,0.602,0.592,0.588,0.638,0.693,0.665,0.636,0.638,0.087,0.086,0.086,0.087,0.089,0.088,0.089,0.087
08:20:00,37,0.086,0.087,0.089,0.094,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.092,0.088,0.086,0.087,0.088,0.088,0.091,0.09,0.09,0.087,0.086,0.087,0.087,0.088,0.091,0.091,0.09,0.087,0.088,0.088,0.089,0.09,0.091,0.092,0.091,0.088,0.09,0.089,0.092,0.094,0.094,0.094,0.093,0.09,0.222,0.287,0.294,0.381,0.406,0.282,0.265,0.226,0.622,0.618,0.606,0.652,0.692,0.678,0.632,0.662,0.088,0.086,0.086,0.087,0.089,0.089,0.089,0.088
08:40:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.091,0.088,0.086,0.087,0.088,0.088,0.091,0.09,0.09,0.087,0.086,0.087,0.086,0.088,0.091,0.091,0.089,0.087,0.087,0.088,0.089,0.09,0.091,0.092,0.091,0.088,0.09,0.089,0.092,0.094,0.094,0.093,0.092,0.09,0.208,0.272,0.282,0.374,0.401,0.275,0.257,0.22,0.616,0.621,0.609,0.654,0.695,0.676,0.611,0.671,0.087,0.086,0.086,0.087,0.089,0.089,0.089,0.088
09:00:00,37,0.086,0.087,0.089,0.094,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.091,0.088,0.092,0.088,0.086,0.087,0.088,0.088,0.091,0.09,0.091,0.087,0.086,0.087,0.086,0.088,0.091,0.091,0.09,0.087,0.087,0.087,0.089,0.09,0.092,0.092,0.091,0.088,0.089,0.089,0.092,0.094,0.094,0.093,0.092,0.09,0.196,0.25,0.264,0.355,0.37,0.246,0.247,0.21,0.602,0.62,0.598,0.644,0.683,0.655,0.588,0.657,0.087,0.086,0.087,0.087,0.089,0.089,0.089,0.087
09:20:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.091,0.087,0.086,0.087,0.088,0.088,0.091,0.09,0.09,0.087,0.086,0.087,0.087,0.088,0.091,0.091,0.089,0.086,0.087,0.087,0.089,0.089,0.091,0.092,0.091,0.088,0.089,0.089,0.091,0.093,0.093,0.093,0.091,0.089,0.181,0.232,0.242,0.316,0.336,0.222,0.229,0.201,0.582,0.603,0.583,0.629,0.669,0.627,0.569,0.648,0.088,0.089,0.087,0.087,0.089,0.089,0.089,0.087
09:40:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.091,0.088,0.086,0.087,0.088,0.088,0.091,0.09,0.09,0.088,0.086,0.087,0.086,0.088,0.091,0.091,0.09,0.086,0.087,0.087,0.089,0.09,0.092,0.092,0.091,0.088,0.089,0.088,0.091,0.093,0.094,0.093,0.092,0.089,0.172,0.218,0.227,0.296,0.314,0.191,0.213,0.189,0.57,0.602,0.573,0.614,0.657,0.607,0.552,0.637,0.088,0.086,0.087,0.087,0.089,0.089,0.089,0.087
