Time;TimeMin;Column;Conc;Replicates_Row;N_of_colonies;Dilution_factor;Vol_plated_mL;CFU_mL
3;420;6;4;4;19;10000;0,005;3,80E+07
3;420;6;4;5;3;100000;0,005;6,00E+07
3;420;6;4;6;2;100000;0,005;4,00E+07
3;420;6;4;7;5;100000;0,005;1,00E+08
3;420;6;4;8;6;100000;0,005;1,20E+08
3;420;7;2;1;30;10000;0,005;6,00E+07
3;420;7;2;2;3;100000;0,005;6,00E+07
3;420;7;2;3;4;100000;0,005;8,00E+07
3;420;7;2;4;3;100000;0,005;6,00E+07
3;420;7;2;5;5;100000;0,005;1,00E+08
3;420;7;2;6;3;100000;0,005;6,00E+07
3;420;7;2;7;3;100000;0,005;6,00E+07
3;420;7;2;8;5;100000;0,005;1,00E+08
3;420;8;0;1;30;10000;0,005;6,00E+07
3;420;8;0;2;8;100000;0,005;1,60E+08
3;420;8;0;3;9;1000;0,005;1,80E+06
3;420;8;0;4;6;100000;0,005;1,20E+08
3;420;8;0;5;31;10000;0,005;6,20E+07
3;420;8;0;6;7;100000;0,005;1,40E+08
3;420;8;0;7;3;100000;0,005;6,00E+07
3;420;8;0;8;5;100000;0,005;1,00E+08
4;1080;1;128;1;24;1;0,005;4,80E+03
4;1080;1;128;2;0;10;0,005;0,00E+00
4;1080;1;128;3;0;10;0,005;0,00E+00
4;1080;1;128;4;0;10;0,005;0,00E+00
4;1080;1;128;5;0;10;0,005;0,00E+00
4;1080;1;128;6;0;10;0,005;0,00E+00
4;1080;1;128;7;0;10;0,005;0,00E+00
4;1080;1;128;8;0;1;0,005;0,00E+00
4;1080;2;64;1;4;100;0,005;8,00E+04
4;1080;2;64;2;22;100;0,005;4,40E+05
4;1080;2;64;3;10;1000;0,005;2,00E+06
4;1080;2;64;4;8;1000;0,005;1,60E+06
4;1080;2;64;5;4;100;0,005;8,00E+04
4;1080;2;64;6;3;1000;0,005;6,00E+05
4;1080;2;64;7;7;1000;0,005;1,40E+06
4;1080;2;64;8;22;100;0,005;4,40E+05
4;1080;3;32;1;24;100000;0,005;4,80E+08
4;1080;3;32;2;22;100000;0,005;4,40E+08
4;1080;3;32;3;17;100000;0,005;3,40E+08
4;1080;3;32;4;14;100000;0,005;2,80E+08
4;1080;3;32;5;31;100000;0,005;6,20E+08
4;1080;3;32;6;22;100000;0,005;4,40E+08
4;1080;3;32;7;21;100000;0,005;4,20E+08
4;1080;3;32;8;23;100000;0,005;4,60E+08
4;1080;4;16;1;23;100000;0,005;4,60E+08
4;1080;4;16;2;26;100000;0,005;5,20E+08
4;1080;4;16;3;24;100000;0,005;4,80E+08
4;1080;4;16;4;29;100000;0,005;5,80E+08
4;1080;4;16;5;32;100000;0,005;6,40E+08
4;1080;4;16;6;31;100000;0,005;6,20E+08
4;1080;4;16;7;33;100000;0,005;6,60E+08
4;1080;4;16;8;30;100000;0,005;6,00E+08
4;1080;5;8;1;52;100000;0,005;1,04E+09
4;1080;5;8;2;38;100000;0,005;7,60E+08
4;1080;5;8;3;36;100000;0,005;7,20E+08
4;1080;5;8;4;40;100000;0,005;8,00E+08
4;1080;5;8;5;39;100000;0,005;7,80E+08
4;1080;5;8;6;35;100000;0,005;7,00E+08
4;1080;5;8;7;42;100000;0,005;8,40E+08
4;1080;5;8;8;38;100000;0,005;7,60E+08
4;1080;6;4;1;47;100000;0,005;9,40E+08
4;1080;6;4;2;48;100000;0,005;9,60E+08
4;1080;6;4;3;57;100000;0,005;1,14E+09
4;1080;6;4;4;30;100000;0,005;6,00E+08
4;1080;6;4;5;34;100000;0,005;6,80E+08
4;1080;6;4;6;9;100000;0,005;1,80E+08
4;1080;6;4;7;52;100000;0,005;1,04E+09
4;1080;6;4;8;40;100000;0,005;8,00E+08
4;1080;7;2;1;47;100000;0,005;9,40E+08
4;1080;7;2;2;41;100000;0,005;8,20E+08
4;1080;7;2;3;45;100000;0,005;9,00E+08
4;1080;7;2;4;29;100000;0,005;5,80E+08
4;1080;7;2;5;46;100000;0,005;9,20E+08
4;1080;7;2;6;35;100000;0,005;7,00E+08
4;1080;7;2;7;41;100000;0,005;8,20E+08
4;1080;7;2;8;45;100000;0,005;9,00E+08
4;1080;8;0;1;37;100000;0,005;7,40E+08
4;1080;8;0;2;37;100000;0,005;7,40E+08
4;1080;8;0;3;39;100000;0,005;7,80E+08
4;1080;8;0;4;41;100000;0,005;8,20E+08
4;1080;8;0;5;46;100000;0,005;9,20E+08
4;1080;8;0;6;16;100000;0,005;3,20E+08
4;1080;8;0;7;41;100000;0,005;8,20E+08
4;1080;8;0;8;37;100000;0,005;7,40E+08
5;1170;1;128;1;0;10;0,005;0,00E+00
5;1170;1;128;2;0;10;0,005;0,00E+00
5;1170;1;128;3;0;10;0,005;0,00E+00
5;1170;1;128;4;0;10;0,005;0,00E+00
5;1170;1;128;5;0;10;0,005;0,00E+00
5;1170;1;128;6;0;10;0,005;0,00E+00
5;1170;1;128;7;0;10;0,005;0,00E+00
5;1170;1;128;8;0;1;0,005;0,00E+00
5;1170;2;64;1;2;100;0,005;4,00E+04
5;1170;2;64;2;8;100;0,005;1,60E+05
5;1170;2;64;3;3;1000;0,005;6,00E+05
5;1170;2;64;4;3;1000;0,005;6,00E+05
5;1170;2;64;5;9;10;0,005;1,80E+04
5;1170;2;64;6;5;100;0,005;1,00E+05
5;1170;2;64;7;2;1000;0,005;4,00E+05
5;1170;2;64;8;2;100;0,005;4,00E+04
5;1170;3;32;1;17;100;0,005;3,40E+05
5;1170;3;32;2;2;1000;0,005;4,00E+05
5;1170;3;32;3;2;1000;0,005;4,00E+05
5;1170;3;32;4;3;1000;0,005;6,00E+05
5;1170;3;32;5;3;1000;0,005;6,00E+05
5;1170;3;32;6;12;1000;0,005;2,40E+06
5;1170;3;32;7;6;1000;0,005;1,20E+06
5;1170;3;32;8;4;1000;0,005;8,00E+05
5;1170;4;16;1;10;100000;0,005;2,00E+08
5;1170;4;16;2;11;100000;0,005;2,20E+08
5;1170;4;16;3;9;100000;0,005;1,80E+08
5;1170;4;16;4;14;100000;0,005;2,80E+08
5;1170;4;16;5;11;100000;0,005;2,20E+08
5;1170;4;16;6;3;100000;0,005;6,00E+07
5;1170;4;16;7;12;100000;0,005;2,40E+08
5;1170;4;16;8;7;100000;0,005;1,40E+08
5;1170;5;8;1;46;100000;0,005;9,20E+08
5;1170;5;8;2;32;100000;0,005;6,40E+08
5;1170;5;8;3;25;100000;0,005;5,00E+08
5;1170;5;8;4;38;100000;0,005;7,60E+08
5;1170;5;8;5;28;100000;0,005;5,60E+08
5;1170;5;8;6;28;100000;0,005;5,60E+08
5;1170;5;8;7;22;100000;0,005;4,40E+08
5;1170;5;8;8;16;100000;0,005;3,20E+08
5;1170;6;4;1;56;100000;0,005;1,12E+09
5;1170;6;4;2;33;100000;0,005;6,60E+08
5;1170;6;4;3;26;100000;0,005;5,20E+08
5;1170;6;4;4;21;100000;0,005;4,20E+08
5;1170;6;4;5;22;100000;0,005;4,40E+08
5;1170;6;4;6;25;100000;0,005;5,00E+08
5;1170;6;4;7;9;100000;0,005;1,80E+08
5;1170;6;4;8;19;100000;0,005;3,80E+08
5;1170;7;2;1;25;100000;0,005;5,00E+08
5;1170;7;2;2;25;100000;0,005;5,00E+08
5;1170;7;2;3;21;100000;0,005;4,20E+08
5;1170;7;2;4;16;100000;0,005;3,20E+08
5;1170;7;2;5;25;100000;0,005;5,00E+08
5;1170;7;2;6;17;100000;0,005;3,40E+08
5;1170;7;2;7;25;100000;0,005;5,00E+08
5;1170;7;2;8;25;100000;0,005;5,00E+08
5;1170;8;0;1;34;100000;0,005;6,80E+08
5;1170;8;0;2;21;100000;0,005;4,20E+08
5;1170;8;0;3;23;100000;0,005;4,60E+08
5;1170;8;0;4;23;100000;0,005;4,60E+08
5;1170;8;0;5;32;100000;0,005;6,40E+08
5;1170;8;0;6;24;100000;0,005;4,80E+08
5;1170;8;0;7;11;100000;0,005;2,20E+08
5;1170;8;0;8;26;100000;0,005;5,20E+08
