deposit,unit_group,state_label,drug,dose_value,dose_unit,early_rate_median_log10_per_day,early_rate_q05_log10_per_day,early_rate_q95_log10_per_day,terminal_rate_median_log10_per_day,terminal_rate_q05_log10_per_day,terminal_rate_q95_log10_per_day,early_rate_median_log10_per_hour,terminal_rate_median_log10_per_hour,ratio_early_over_terminal,P_terminal_rate_le_0,rate_units,corpus_windels_early_rate_log10_per_hour_min,corpus_windels_early_rate_log10_per_hour_max,corpus_windels_terminal_rate_log10_per_hour_p10,corpus_windels_terminal_rate_log10_per_hour_p90,corpus_windels_n_terminal_series,corpus_windels_terminal_vs_nutrient_spearman,corpus_windels_terminal_vs_nutrient_p,corpus_windels_terminal_vs_log10dose_spearman,corpus_windels_terminal_vs_log10dose_p,corpus_era4tb_treated_100uL_series_with_ge3_uncensored,corpus_era4tb_n_terminal_rate_non_positive,corpus_era4tb_P_terminal_rate_le_0_empirical,corpus_era4tb_non_positive_by_arm,corpus_era4tb_n_rebound_gt_1_log10_from_nadir,corpus_era4tb_n_rebound_gt_2_log10_from_nadir
era4tb,era4tb_B_MXF1x_r3,standard,moxifloxacin,1.0,xMIC,-0.06720375107380601,-0.21101880674739587,0.05896717101427366,-0.17025358655132783,-0.20768173693308936,-0.1015175401422185,-0.002800156294741917,-0.0070938994396386595,0.3947273736494562,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_B_untreated_r1,standard,none,0.0,xMIC,-0.3213462002822872,-0.40454749989987976,-0.2382885228003882,-0.16651386516842215,-0.20426012477277827,-0.09823313996881376,-0.013389425011761968,-0.0069380777153509226,1.9298465023153377,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_B_untreated_r2,standard,none,0.0,xMIC,-0.3011459776012752,-0.427299217060605,-0.2177161293343927,-0.1275188290618202,-0.1986532663136179,-0.09160902136814641,-0.0125477490667198,-0.0053132845442425075,2.361580480442475,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_B_untreated_r3,standard,none,0.0,xMIC,-0.3052453958743016,-0.4608996086131004,-0.22901119140243759,-0.11477977771204931,-0.18517796166971545,-0.04742920960250125,-0.012718558161429234,-0.004782490738002055,2.6594004794126525,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_C_INH10x_r1,standard,isoniazid,10.0,xMIC,1.272440087256553,1.0661150605335146,1.4934298988223524,0.18228222075968287,-0.044368207799220204,0.5138289553544901,0.05301833696902305,0.0075950925316534525,6.98060448217883,0.13333333333333333,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_C_INH10x_r2,standard,isoniazid,10.0,xMIC,1.2747413444142535,1.0950102011310088,1.4081477476767676,0.2142116266905704,0.010914844479217548,0.39462356574348734,0.05311422268392723,0.008925484445440434,5.950850400177497,0.06666666666666667,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_C_INH10x_r3,standard,isoniazid,10.0,xMIC,1.2581086438634848,1.0696413905269413,1.4471971762127418,0.22372594887676095,-0.0565319101653106,0.5033912386281308,0.05242119349431187,0.009321914536531707,5.6234363969845615,0.2,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_C_INH1x_r1,standard,isoniazid,1.0,xMIC,0.7226967150337179,0.6195074063448082,0.8196786392734273,-0.3124166770794495,-0.36172390634524226,-0.28279446321254165,0.030112363126404914,-0.013017361544977062,-2.313246276702225,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_C_INH1x_r2,standard,isoniazid,1.0,xMIC,0.7173972942062322,0.6465823412031947,0.8486512216636902,-0.34577333286014583,-0.3949667553320703,-0.3123811761853856,0.029891553925259676,-0.014407222202506077,-2.074761776080622,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_C_INH1x_r3,standard,isoniazid,1.0,xMIC,0.7379136578193166,0.6619836004757943,0.8353556712522698,-0.32050243058475336,-0.34738536743413523,-0.29067440094798686,0.03074640240913819,-0.01335426794103139,-2.302365247193292,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_C_MXF10x_r1,standard,moxifloxacin,10.0,xMIC,0.5479593743305652,0.48847357107382344,0.6313394212122174,0.24413366703446066,0.09738669313527516,0.4748471663400739,0.02283164059710688,0.010172236126435861,2.2445055652779673,0.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
