institute,arm,replicate,n_points,start_log10,nadir_log10,final_log10,terminal_step_log10,rebound_from_nadir_log10,terminal_step_is_decline,rebounds
B,MXF 1X MIC,2,5,3.07918124604762,3.07918124604762,4.20411998265593,0.0,1.1249387366083106,False,True
B,MXF 1X MIC,3,6,3.25527250510331,3.25527250510331,3.80617997398389,-0.33994806169434977,0.5509074688805802,True,False
C,INH 1X MIC,1,7,5.07918124604763,1.47712125471966,6.80617997398389,0.7269987279362597,5.32905871926423,False,True
C,INH 1X MIC,2,6,4.74036268949424,1.47712125471966,7.01703333929878,0.8709053036205399,5.53991208457912,False,True
C,INH 1X MIC,3,5,4.76342799356294,1.47712125471966,6.72427586960079,0.5481846105451105,5.24715461488113,False,True
C,MXF 10X MIC,1,4,4.63346845557959,2.85733249643127,2.85733249643127,-0.23957751657678994,0.0,True,False
C,MXF 10X MIC,2,3,3.47712125471966,2.51851393987789,2.51851393987789,-0.3565473235138099,0.0,True,False
C,MXF 10X MIC,3,3,3.69897000433602,2.54406804435028,2.54406804435028,-0.3071903043687998,0.0,True,False
C,MXF 1X MIC,1,9,4.54406804435028,3.25527250510331,6.90308998699194,0.5808706922580198,3.64781748188863,False,True
C,MXF 1X MIC,2,9,4.47712125471966,2.0,6.88649072517248,0.4393326938302593,4.88649072517248,False,True
C,MXF 1X MIC,3,7,4.44715803134222,4.44715803134222,7.25527250510331,0.9542425094393296,2.8081144737610897,False,True
D,INH 10X MIC,1,7,4.92427928606188,2.23044892137827,4.92941892571429,1.2392228456857803,2.69897000433602,False,True
D,INH 10X MIC,2,6,4.76342799356294,2.51851393987789,5.07918124604763,1.2279228973285505,2.5606673061697403,False,True
D,INH 10X MIC,3,7,4.76342799356294,2.78532983501077,5.32221929473392,1.5740312677277206,2.5368894597231506,False,True
D,INH 1X MIC,1,7,4.96378782734556,3.11394335230684,5.05307844348342,1.1392645910997001,1.93913509117658,False,True
D,INH 1X MIC,2,6,4.77085201164214,2.88081359228079,3.78532983501077,0.6713864827039298,0.9045162427299798,False,False
D,INH 1X MIC,3,7,4.60205999132796,2.77085201164214,5.26007138798508,1.3624442966946395,2.4892193763429398,False,True
D,MXF 10X MIC,1,6,4.65321251377534,3.04139268515822,4.98227123303957,1.9408785478813497,1.9408785478813497,False,True
D,MXF 10X MIC,2,7,4.70757017609794,2.95424250943932,3.95424250943932,1.0,1.0,False,False
D,MXF 10X MIC,3,7,4.73239375982297,2.95424250943932,4.88649072517248,1.9322482157331597,1.9322482157331597,False,True
D,MXF 1X MIC,1,7,4.81291335664286,4.77815125038364,6.47712125471966,0.6642078980767998,1.6989700043360196,False,True
D,MXF 1X MIC,2,6,4.74036268949424,4.74036268949424,7.04921802267018,1.13540417028646,2.3088553331759405,False,True
D,MXF 1X MIC,3,5,4.91381385238372,4.91381385238372,6.17609125905568,0.04575749056066947,1.2622774066719593,False,True
E,INH 10X MIC,1,6,4.54406804435028,3.20411998265592,5.69019608002851,1.6110148339808799,2.48607609737259,False,True
E,INH 10X MIC,2,6,4.67209785793572,3.04139268515822,5.79934054945358,1.6853971971467407,2.7579478642953603,False,True
E,INH 10X MIC,3,6,4.67209785793572,3.0,5.76342799356294,1.8603380065710002,2.7634279935629404,False,True
E,INH 1X MIC,1,6,4.81954393554187,4.20411998265593,6.39794000867204,2.0757207139381197,2.19382002601611,False,True
E,INH 1X MIC,2,6,4.57978359661681,3.95424250943932,6.36172783601759,1.8993298381186303,2.4074853265782705,False,True
E,INH 1X MIC,3,6,4.73239375982297,3.90308998699194,6.27875360095283,1.64528514537324,2.3756636139608895,False,True
E,MXF 10X MIC,1,7,4.56820172406699,2.64345267648619,2.64345267648619,-0.8479090173480799,0.0,True,False
E,MXF 10X MIC,2,7,4.77815125038364,2.36172783601759,2.36172783601759,-0.9806948448046202,0.0,True,False
E,MXF 10X MIC,3,7,4.7160033436348,2.60205999132796,2.60205999132796,-0.7201593034059601,0.0,True,False
E,MXF 1X MIC,1,6,5.61278385671974,4.92941892571429,7.04139268515823,0.5942346538160095,2.1119737594439396,False,True
E,MXF 1X MIC,2,5,5.32221929473392,4.80617997398389,6.17609125905568,0.17176988527303916,1.3699112850717894,False,True
E,MXF 1X MIC,3,4,5.41497334797082,4.81291335664286,6.41497334797082,0.6368220975871797,1.6020599913279598,False,True
F,INH 10X MIC,1,7,6.86923171973098,3.14612803567824,5.51851393987789,0.9622114391105994,2.37238590419965,False,True
F,INH 10X MIC,2,7,6.83884909073726,3.11394335230684,5.41497334797082,0.8586708472035296,2.30102999566398,False,True
F,INH 10X MIC,3,7,6.46239799789896,3.07918124604762,5.47712125471966,0.5794941634292199,2.39794000867204,False,True
F,INH 1X MIC,1,7,6.69897000433602,3.5910646070265,5.69019608002851,0.6488033948702805,2.0991314730020103,False,True
F,INH 1X MIC,2,7,7.01703333929878,3.34242268082221,5.80617997398389,0.7269987279362597,2.46375729316168,False,True
F,INH 1X MIC,3,7,6.90848501887865,3.43136376415899,5.81291335664286,0.9098233696509199,2.38154959248387,False,True
F,MXF 10X MIC,1,7,6.23044892137827,2.0,2.0,-0.9542425094393199,0.0,True,False
F,MXF 10X MIC,2,7,6.14612803567824,2.90308998699194,2.90308998699194,-0.09691001300805979,0.0,True,False
F,MXF 10X MIC,3,7,6.11394335230684,2.30102999566398,2.30102999566398,-0.7781512503836399,0.0,True,False
F,MXF 1X MIC,1,7,6.88081359228079,6.88081359228079,9.15836249209525,0.7966346560776607,2.2775488998144606,False,True
F,MXF 1X MIC,2,7,6.70757017609794,6.70757017609794,9.07918124604763,0.10145764075878105,2.37161106994969,False,True
F,MXF 1X MIC,3,7,6.50514997831991,6.50514997831991,9.29003461136252,0.5998385313340098,2.7848846330426102,False,True
