unit_group,time_days,plated_volume_uL,limit_log10,observed_blank,observed_y_log10,predicted_p_blank,mu_median,mu_q05,mu_q95,fold
era4tb_A_INH1x_r1,7.0,2.5,2.6020599913279625,1,,0.9696467163839115,0.7763534664913783,0.39995727987062063,1.1350606882494125,in-sample
era4tb_A_INH1x_r1,14.0,100.0,1.0,0,2.30102999566398,0.027681577390388366,2.457112187207464,2.1352769035364876,2.8149274957202697,in-sample
era4tb_A_INH1x_r1,14.0,10.0,2.0,0,3.47712125471966,0.19238391194872462,2.457112187207464,2.1352769035364876,2.8149274957202697,in-sample
era4tb_A_INH1x_r1,14.0,10.0,2.0,1,,0.19238391194872462,2.457112187207464,2.1352769035364876,2.8149274957202697,in-sample
era4tb_A_INH1x_r1,14.0,2.5,2.6020599913279625,1,,0.4759772143718477,2.457112187207464,2.1352769035364876,2.8149274957202697,in-sample
era4tb_A_INH1x_r1,21.0,100.0,1.0,0,4.6232492903979,0.020478650350932305,4.230153729042952,3.8395598564094,4.627873655167085,in-sample
era4tb_A_INH1x_r1,21.0,10.0,2.0,0,4.36172783601759,0.0206263393140101,4.230153729042952,3.8395598564094,4.627873655167085,in-sample
era4tb_A_INH1x_r1,21.0,10.0,2.0,0,4.14612803567824,0.0206263393140101,4.230153729042952,3.8395598564094,4.627873655167085,in-sample
era4tb_A_INH1x_r1,21.0,2.5,2.6020599913279625,0,4.38021124171161,0.024347940910965496,4.230153729042952,3.8395598564094,4.627873655167085,in-sample
era4tb_A_INH1x_r2,1.0,100.0,1.0,0,2.5910646070265,0.021653463039828964,2.78102065313084,2.580463067455795,2.950277370236633,in-sample
era4tb_A_INH1x_r2,1.0,10.0,2.0,0,2.69897000433602,0.09304860247789977,2.78102065313084,2.580463067455795,2.950277370236633,in-sample
era4tb_A_INH1x_r2,1.0,10.0,2.0,0,2.47712125471966,0.09304860247789977,2.78102065313084,2.580463067455795,2.950277370236633,in-sample
era4tb_A_INH1x_r2,1.0,2.5,2.6020599913279625,0,3.44715803134222,0.3098293562689329,2.78102065313084,2.580463067455795,2.950277370236633,in-sample
era4tb_A_INH1x_r2,2.0,100.0,1.0,0,2.27875360095283,0.03652114175128005,2.208783054453585,2.0239184564238815,2.3176285223379867,in-sample
era4tb_A_INH1x_r2,2.0,10.0,2.0,1,,0.29773137375203923,2.208783054453585,2.0239184564238815,2.3176285223379867,in-sample
