arm,faster_institute,slower_institute,rate_ratio,distance_ratio,inversion
INH 10X MIC,F,B,2.550373926687581,4.198518109577657,True
INH 1X MIC,A,B,14.217275783082465,0.9088259594987507,True
INH 1X MIC,C,A,35.26062292111939,2.200416171601342,False
INH 1X MIC,C,A,50.91622807368791,2.0639735303102653,False
INH 1X MIC,C,A,82.47502728432224,2.020814196342146,False
INH 1X MIC,D,A,15.376221150650448,2.365896546755525,True
INH 1X MIC,D,A,24.021831175285485,2.472097942735076,True
INH 1X MIC,D,A,15.2704911945167,2.3989357180269613,True
INH 1X MIC,F,A,74.2629383154684,3.690880091190578,True
INH 1X MIC,F,A,78.20870045911815,3.8968705824299694,True
INH 1X MIC,F,A,75.99812316765356,3.8265703642386106,True
INH 1X MIC,A,B,141.07004115156496,0.936487756090967,True
INH 1X MIC,C,A,3.55362482537471,2.135420698717501,False
INH 1X MIC,C,A,5.1314230183019705,2.003008274122105,False
INH 1X MIC,C,A,8.31197183006884,1.9611237723229242,False
INH 1X MIC,D,A,1.5496414037732622,2.29601314613558,True
INH 1X MIC,D,A,2.4209605090194093,2.3990775855513227,True
INH 1X MIC,D,A,1.5389857611391775,2.3280764126721794,True
INH 1X MIC,F,A,7.484343705256962,3.5818595795344095,True
INH 1X MIC,F,A,7.88200424404169,3.781765562960928,True
INH 1X MIC,F,A,7.659218550240092,3.7135418591963196,True
INH 1X MIC,C,B,501.3100003528332,1.9997953384521576,True
INH 1X MIC,C,B,723.8900563579467,1.8757927240642507,False
INH 1X MIC,C,B,1172.5702081184602,1.836568400959348,False
INH 1X MIC,D,B,218.60797660046302,2.150188199179871,True
INH 1X MIC,D,B,341.5249986336817,2.2467067847810935,True
INH 1X MIC,D,B,217.1047846555763,2.1802150557116775,True
INH 1X MIC,F,B,1055.8166744930559,3.354367640271114,True
INH 1X MIC,F,B,1111.9146630637708,3.5415771461193724,True
INH 1X MIC,F,B,1080.4862760711994,3.477686482868639,True
INH 1X MIC,C,D,2.293191713077552,0.9300559547368568,False
INH 1X MIC,C,D,1.4678574111950622,0.8901007252030027,False
INH 1X MIC,C,D,2.309069333262882,0.917246825359333,False
INH 1X MIC,F,C,2.1061153253474867,1.6773554652184537,True
INH 1X MIC,F,C,2.218018117095571,1.770969797769683,True
INH 1X MIC,F,C,2.1553255975558616,1.7390211968192555,True
INH 1X MIC,C,D,3.311361587143538,0.872385368303909,False
INH 1X MIC,C,D,2.1195814633012797,0.8349076687579494,False
INH 1X MIC,C,D,3.334288820517497,0.8603705029694625,False
INH 1X MIC,F,C,1.4585318104866734,1.788240031661525,True
INH 1X MIC,F,C,1.5360269882115292,1.888042906172433,True
INH 1X MIC,F,C,1.4926110209433854,1.8539822861310553,True
INH 1X MIC,C,D,5.363803399825149,0.8541430939207346,False
INH 1X MIC,C,D,3.433336396484856,0.8174490829867205,False
INH 1X MIC,C,D,5.40094134718713,0.8423794690106134,False
INH 1X MIC,C,F,1.110581255672499,0.5475155373281948,False
INH 1X MIC,C,F,1.0545505397757404,0.5185735973510386,False
INH 1X MIC,C,F,1.0852245272212904,0.5281006237929814,False
MXF 10X MIC,B,A,1.384161036624258,1.1879018247091073,True
MXF 10X MIC,A,B,1.0870402890457076,0.8197856630329863,False
MXF 10X MIC,B,A,1.3113443799156386,1.1099155212719074,True
MXF 10X MIC,C,A,3.5237371971725278,1.8521461378997484,False
MXF 10X MIC,C,A,3.326263578417131,1.546210047144586,False
MXF 10X MIC,C,A,3.3019072320530705,1.6846872270362505,False
MXF 10X MIC,A,D,1.078954294459501,0.43853457341641,False
MXF 10X MIC,D,A,1.1149444684862564,2.1390267058898016,True
MXF 10X MIC,A,D,1.2066547781990604,0.4472680673416925,False
MXF 10X MIC,A,E,1.2995949271591374,0.44898246097531525,False
MXF 10X MIC,A,E,1.463754825559822,0.4240327835380555,False
MXF 10X MIC,A,E,1.6391546214378276,0.43112447518976355,False
MXF 10X MIC,F,A,1.3866876135011303,3.264827128628754,True
MXF 10X MIC,F,A,1.5883301233451026,3.2121943394969716,True
MXF 10X MIC,F,A,1.6040591778651065,3.192104777591913,True
MXF 10X MIC,B,A,1.1753386740148268,1.3449652530354137,False
MXF 10X MIC,A,B,1.2801746820753888,0.7240520770253747,True
MXF 10X MIC,B,A,1.113507549978257,1.2566676629871827,False
MXF 10X MIC,C,A,2.99212627383453,2.097035417576626,False
MXF 10X MIC,C,A,2.824444642088178,1.7506487018091481,False
MXF 10X MIC,C,A,2.803762831892742,1.9074352235726204,False
MXF 10X MIC,A,D,1.2706520492411006,0.387323032162874,False
MXF 10X MIC,A,D,1.0562588385121536,0.4129079817198781,False
MXF 10X MIC,A,D,1.4210410714508286,0.39503663914752657,False
MXF 10X MIC,A,E,1.53049389196354,0.3965508279498424,False
MXF 10X MIC,A,E,1.723820071188336,0.3745147439047447,False
MXF 10X MIC,A,E,1.9303831399052604,0.380778276315211,False
MXF 10X MIC,F,A,1.177484077214083,3.696499958023332,True
MXF 10X MIC,F,A,1.3487056575607137,3.6369081036460376,True
MXF 10X MIC,F,A,1.3620617379544626,3.6141623159479472,True
MXF 10X MIC,B,A,1.9357047155269018,1.3013488733751866,False
MXF 10X MIC,B,A,1.2864912817401009,1.33632739667792,False
MXF 10X MIC,B,A,1.8338729618289824,1.2159147187963366,False
MXF 10X MIC,C,A,4.927833198859219,2.0290298741415524,False
MXF 10X MIC,C,A,4.651672690867151,1.693876262329791,False
MXF 10X MIC,C,A,4.617611123417672,1.8455782955212288,False
MXF 10X MIC,D,A,1.296132618349789,2.498097316205262,True
MXF 10X MIC,D,A,1.5592139990177631,2.3433081218734393,True
MXF 10X MIC,D,A,1.1589626793213912,2.4493186992440474,True
MXF 10X MIC,E,A,1.0760798042006343,2.4399662261528365,True
MXF 10X MIC,A,E,1.046684641752884,0.38706708677966917,False
MXF 10X MIC,A,E,1.1721074716601292,0.3935405495272022,False
MXF 10X MIC,F,A,1.9392380520717813,3.5766247826466535,True
MXF 10X MIC,F,A,2.2212286202412077,3.5189654547337503,True
MXF 10X MIC,F,A,2.243225197373162,3.4969572986656754,True
MXF 10X MIC,C,B,2.5457566742135334,1.5591744194460688,False
MXF 10X MIC,C,B,2.403090023780284,1.3016311743802742,False
MXF 10X MIC,C,B,2.3854935550749796,1.4182040906021804,False
MXF 10X MIC,B,D,1.4934464946892578,0.5209360199593834,False
MXF 10X MIC,B,D,1.2414618626733158,0.5553468881142177,False
MXF 10X MIC,B,D,1.6702045286396257,0.5313105533293124,False
MXF 10X MIC,B,E,1.7988486615682189,0.5333470846549626,False
MXF 10X MIC,B,E,2.026072396710643,0.503709317301338,False
MXF 10X MIC,B,E,2.268853959996827,0.5121335507546764,False
MXF 10X MIC,F,B,1.0018253489370241,2.7483981089331544,True
MXF 10X MIC,F,B,1.14750385346692,2.704090752856257,True
MXF 10X MIC,F,B,1.1588674550304812,2.6871789496355003,True
MXF 10X MIC,C,B,3.8304443013355365,1.51836284969213,False
MXF 10X MIC,C,B,3.615782521724768,1.2675608286866895,False
MXF 10X MIC,C,B,3.5893061919330824,1.3810824354191158,False
MXF 10X MIC,D,B,1.0074942883380036,1.8693752162946562,True
MXF 10X MIC,D,B,1.2119895572932131,1.7535434263331355,True
MXF 10X MIC,B,D,1.110036849929785,0.5455914728819738,False
MXF 10X MIC,B,E,1.195535197964031,0.5476827434554064,False
MXF 10X MIC,B,E,1.3465506663463458,0.5172483524159819,False
MXF 10X MIC,B,E,1.5079060435531886,0.5258990180368842,False
MXF 10X MIC,F,B,1.5073853041963712,2.676458472331004,True
MXF 10X MIC,F,B,1.7265788363810648,2.6333108663953304,True
MXF 10X MIC,F,B,1.7436769523529057,2.61684173156895,True
MXF 10X MIC,C,B,2.6871180836564204,1.6687271259863832,False
MXF 10X MIC,C,B,2.536529403993111,1.3930880481540677,False
MXF 10X MIC,C,B,2.517955834199319,1.5178517596597656,False
MXF 10X MIC,B,D,1.4148806502253095,0.48673632964922825,False
MXF 10X MIC,B,D,1.1761521914145476,0.5188881084166734,False
MXF 10X MIC,B,D,1.5823399618896892,0.49642977011183315,False
MXF 10X MIC,B,E,1.7042165038970087,0.49833260221536085,False
MXF 10X MIC,B,E,1.9194866640722685,0.4706405679770187,False
MXF 10X MIC,B,E,2.1494962006352414,0.47851174661332385,False
MXF 10X MIC,F,B,1.057454955951646,2.941509570825198,True
MXF 10X MIC,F,B,1.2112227326945824,2.8940890346464916,True
MXF 10X MIC,F,B,1.223217335150587,2.8759889526852653,True
MXF 10X MIC,C,D,3.801951381435984,0.8122301164887175,False
MXF 10X MIC,C,D,3.1604598226821587,0.8658826618666664,False
MXF 10X MIC,C,D,4.251934326085995,0.8284058235328002,False
MXF 10X MIC,C,E,4.579430986087375,0.8315811310801546,False
MXF 10X MIC,C,E,5.1578873263659295,0.7853706823728894,False
MXF 10X MIC,C,E,5.7759501114777265,0.7985055316767764,False
MXF 10X MIC,C,F,2.541118246723025,0.5673029734587082,False
MXF 10X MIC,C,F,2.2185168847338623,0.5765984066175129,False
MXF 10X MIC,C,F,2.1967625919278,0.5802272378092131,False
MXF 10X MIC,C,D,3.5888863724373903,0.6780665634367183,False
MXF 10X MIC,C,D,2.9833446170939344,0.72285682216454,False
MXF 10X MIC,C,D,4.013651840446536,0.6915703794906662,False
MXF 10X MIC,C,E,4.322795272905103,0.6942211921517345,False
MXF 10X MIC,C,E,4.868834363991957,0.6556437502252268,False
MXF 10X MIC,C,E,5.452260316682766,0.6666089951083493,False
MXF 10X MIC,C,F,2.3987115382237603,0.4735962996589051,False
MXF 10X MIC,C,F,2.0941890665725422,0.4813563202364406,False
MXF 10X MIC,C,F,2.073653905240679,0.48438574385112415,False
MXF 10X MIC,C,D,3.562606987930544,0.7387935944484167,False
MXF 10X MIC,C,D,2.9614992722785747,0.787595228426775,False
MXF 10X MIC,C,D,3.984262138726871,0.7535068001117389,False
MXF 10X MIC,C,E,4.29114188872624,0.7563950171684154,False
MXF 10X MIC,C,E,4.833182644468557,0.7143626142711893,False
MXF 10X MIC,C,E,5.412336498978776,0.7263098966149015,False
MXF 10X MIC,C,F,2.3811471306910748,0.5160111579150681,False
MXF 10X MIC,C,F,2.0788545048173543,0.524466158949795,False
MXF 10X MIC,C,F,2.058469710854237,0.5277668950162592,False
