arm,institute,n_points,n_quantified,fraction_censored,intercept_log10,kill_rate_tobit,kill_rate_se,kill_rate_ci_low,kill_rate_ci_high,residual_sd,runs_z,theta_cov,kill_rate_mi,kill_rate_mi_se,kill_rate_mi_ci_low,kill_rate_mi_ci_high,fraction_missing_information,note
INH 1x MIC,C,84.0,37.0,0.5595238095238095,2.651460184203731,0.1759160888128978,0.03992468208215008,0.09860341534618403,0.26488884458154704,1.4888178266669925,-7.439895810889976,"[[ 0.06654221 -0.00700888]
 [-0.00700888  0.00159398]]",0.17351157018064478,0.04274611595192808,0.08972918291486574,0.2572939574464238,0.3833630237920179,
INH 1x MIC,D,77.0,74.0,0.03896103896103896,4.014953461707355,0.05332156966570078,0.015570017067502278,0.022423672383501323,0.08428377057567545,0.6664435175413482,-6.0759808035268525,"[[ 0.0122518  -0.00125142]
 [-0.00125142  0.00024243]]",0.05325779344969587,0.015740419152939243,0.022406571909934954,0.08410901498945678,0.003980438231248052,
INH 1x MIC,E,72.0,72.0,0.0,4.22144222150962,-0.09838205245246044,0.014993228594434466,-0.12816459783534903,-0.06859950878169307,0.5940800756607877,-7.596156087231706,"[[ 0.01345035 -0.00138625]
 [-0.00138625  0.0002248 ]]",-0.0983820533085271,0.0152059090728411,-0.12818563509129566,-0.06857847152575855,0.0,
INH 1x MIC,F,59.0,56.0,0.05084745762711865,5.579543239102937,0.2696390320165773,0.02830510134464398,0.21360393572966604,0.3266829204119878,0.7317676028268838,-4.992160931453995,"[[ 0.02595271 -0.00366816]
 [-0.00366816  0.00080118]]",0.27001200599455955,0.029074697208574557,0.21302559946575342,0.3269984125233657,0.03448470658645625,
INH 10x MIC,A,72.0,23.0,0.6805555555555556,2.4527040559918922,0.26012471405265425,0.058147668379098724,0.1596366513028259,0.40354234563128083,0.695112458165612,-4.754775992288397,"[[ 0.0376157  -0.0088846 ]
 [-0.0088846   0.00338115]]",0.2560161982968572,0.035551057444441016,0.1863361257057528,0.32569627088796155,0.7515418832706926,
INH 10x MIC,B,71.0,18.0,0.7464788732394366,1.9639150865176689,0.09897987381306314,0.02676818426259518,0.04844382453102566,0.16205283451761515,0.6152978465533271,-4.223190669609045,"[[ 0.02500293 -0.0031736 ]
 [-0.0031736   0.00071654]]",0.10128373509457356,0.023400781734261862,0.05541820289542031,0.1471492672937268,0.5462258134116127,
INH 10x MIC,C,,,,,,,,,,,,,,,,,too little quantified signal to fit
INH 10x MIC,D,74.0,74.0,0.0,3.749717234296057,0.03643281203459844,0.014090504830720494,0.008453612659730957,0.06441201008562289,0.6002482868875806,-6.259939583246508,"[[ 0.01018737 -0.00102759]
 [-0.00102759  0.00019854]]",0.03643281137267741,0.014284866330300792,0.00843447336528786,0.06443114938006697,0.0,
INH 10x MIC,E,68.0,68.0,0.0,4.099579286896779,-0.0460179303469539,0.017544194152948812,-0.08089531898804603,-0.011140541714663266,0.6694979115343526,-6.312420897816937,"[[ 0.01855845 -0.00191922]
 [-0.00191922  0.0003078 ]]",-0.046017930351311714,0.01780803246981276,-0.08092167399214473,-0.011114186710478709,1.5802387699485214e-31,
INH 10x MIC,F,59.0,57.0,0.03389830508474576,5.600697192531819,0.2391325132687564,0.03631459729406401,0.16685275348098302,0.3117036204616531,0.9464122174476927,-6.697355499900568,"[[ 0.04254073 -0.00600032]
 [-0.00600032  0.00131875]]",0.23908978163108113,0.03690394165046155,0.1667580559961765,0.3114215072659858,0.0016719674024408644,
