design,reading,prior,culture_age_days,sample_day,isolate_index,n0_mpn_ml,recorded_class,p_low,p_medium,p_high,dominant_class,p_dominant,verdict
duplicate,censor,logflat,15,2,43,23000.0,,0.7413,0.2027,0.0558,Low,0.7413,refused
duplicate,censor,flat,15,2,43,23000.0,,0.0473,0.3679,0.5844,High,0.5844,refused
duplicate,pattern,logflat,15,2,45,230000.0,,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,2,45,230000.0,,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,2,45,230000.0,,0.9441,0.0557,0.0001,Low,0.9441,refused
duplicate,censor,flat,15,2,45,230000.0,,0.4153,0.5785,0.0059,Medium,0.5785,refused
duplicate,pattern,logflat,15,2,49,23000.0,,0.0198,0.5133,0.4665,Medium,0.5133,refused
duplicate,pattern,flat,15,2,49,23000.0,,0.001,0.2112,0.7875,High,0.7875,refused
duplicate,censor,logflat,15,2,49,23000.0,,0.7413,0.2027,0.0558,Low,0.7413,refused
duplicate,censor,flat,15,2,49,23000.0,,0.0473,0.3679,0.5844,High,0.5844,refused
duplicate,pattern,logflat,15,2,61,610000.0,,0.8861,0.1137,0.0,Low,0.8861,refused
duplicate,pattern,flat,15,2,61,610000.0,,0.6463,0.3533,0.0,Low,0.6463,refused
duplicate,censor,logflat,15,2,61,610000.0,,0.9878,0.0122,0.0,Low,0.9878,confirmed
duplicate,censor,flat,15,2,61,610000.0,,0.7545,0.2452,0.0,Low,0.7545,refused
duplicate,pattern,logflat,15,2,62,230000.0,,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,2,62,230000.0,,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,2,62,230000.0,,0.9441,0.0557,0.0001,Low,0.9441,refused
duplicate,censor,flat,15,2,62,230000.0,,0.4153,0.5785,0.0059,Medium,0.5785,refused
duplicate,pattern,logflat,15,2,64,23000.0,,0.0198,0.5133,0.4665,Medium,0.5133,refused
duplicate,pattern,flat,15,2,64,23000.0,,0.001,0.2112,0.7875,High,0.7875,refused
duplicate,censor,logflat,15,2,64,23000.0,,0.7413,0.2027,0.0558,Low,0.7413,refused
duplicate,censor,flat,15,2,64,23000.0,,0.0473,0.3679,0.5844,High,0.5844,refused
duplicate,pattern,logflat,15,2,65,23000.0,,0.0198,0.5133,0.4665,Medium,0.5133,refused
duplicate,pattern,flat,15,2,65,23000.0,,0.001,0.2112,0.7875,High,0.7875,refused
duplicate,censor,logflat,15,2,65,23000.0,,0.7413,0.2027,0.0558,Low,0.7413,refused
duplicate,censor,flat,15,2,65,23000.0,,0.0473,0.3679,0.5844,High,0.5844,refused
duplicate,pattern,logflat,15,2,82,230000.0,,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,2,82,230000.0,,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,2,82,230000.0,,0.9441,0.0557,0.0001,Low,0.9441,refused
duplicate,censor,flat,15,2,82,230000.0,,0.4153,0.5785,0.0059,Medium,0.5785,refused
duplicate,pattern,logflat,15,2,89,23000.0,,0.0198,0.5133,0.4665,Medium,0.5133,refused
duplicate,pattern,flat,15,2,89,23000.0,,0.001,0.2112,0.7875,High,0.7875,refused
duplicate,censor,logflat,15,2,89,23000.0,,0.7413,0.2027,0.0558,Low,0.7413,refused
duplicate,censor,flat,15,2,89,23000.0,,0.0473,0.3679,0.5844,High,0.5844,refused
duplicate,pattern,logflat,15,2,94,230000.0,,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,15,2,94,230000.0,,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,15,2,94,230000.0,,0.9441,0.0557,0.0001,Low,0.9441,refused
duplicate,censor,flat,15,2,94,230000.0,,0.4153,0.5785,0.0059,Medium,0.5785,refused
duplicate,pattern,logflat,15,2,102,2300000.0,,0.999,0.001,0.0,Low,0.999,confirmed
duplicate,pattern,flat,15,2,102,2300000.0,,0.9914,0.0086,0.0,Low,0.9914,confirmed
duplicate,censor,logflat,15,2,102,2300000.0,,0.9999,0.0001,0.0,Low,0.9999,confirmed
duplicate,censor,flat,15,2,102,2300000.0,,0.994,0.0059,0.0,Low,0.994,confirmed
duplicate,pattern,logflat,60,2,45,61000000.0,,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,flat,60,2,45,61000000.0,,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,logflat,60,2,45,61000000.0,,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,censor,flat,60,2,45,61000000.0,,1.0,0.0,0.0,Low,1.0,confirmed
duplicate,pattern,logflat,60,2,49,230000.0,,0.5331,0.4655,0.001,Low,0.5331,refused
duplicate,pattern,flat,60,2,49,230000.0,,0.2122,0.7789,0.0086,Medium,0.7789,refused
duplicate,censor,logflat,60,2,49,230000.0,,0.9441,0.0557,0.0001,Low,0.9441,refused
duplicate,censor,flat,60,2,49,230000.0,,0.4153,0.5785,0.0059,Medium,0.5785,refused
duplicate,pattern,logflat,60,2,64,23000.0,,0.0198,0.5133,0.4665,Medium,0.5133,refused
duplicate,pattern,flat,60,2,64,23000.0,,0.001,0.2112,0.7875,High,0.7875,refused
duplicate,censor,logflat,60,2,64,23000.0,,0.7413,0.2027,0.0558,Low,0.7413,refused
duplicate,censor,flat,60,2,64,23000.0,,0.0473,0.3679,0.5844,High,0.5844,refused
triplicate,pattern,logflat,15,5,8,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,15,5,8,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,15,5,8,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,8,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,15,5,43,23000.0,Medium,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,5,43,23000.0,Medium,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,5,43,23000.0,Medium,0.9509,0.049,0.0,Low,0.9509,contradicted
triplicate,censor,flat,15,5,43,23000.0,Medium,0.555,0.4443,0.0004,Low,0.555,refused
triplicate,pattern,logflat,15,5,49,23000.0,Medium,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,5,49,23000.0,Medium,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,5,49,23000.0,Medium,0.9509,0.049,0.0,Low,0.9509,contradicted
triplicate,censor,flat,15,5,49,23000.0,Medium,0.555,0.4443,0.0004,Low,0.555,refused
triplicate,pattern,logflat,15,5,50,23000.0,Medium,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,5,50,23000.0,Medium,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,5,50,23000.0,Medium,0.9509,0.049,0.0,Low,0.9509,contradicted
triplicate,censor,flat,15,5,50,23000.0,Medium,0.555,0.4443,0.0004,Low,0.555,refused
triplicate,pattern,logflat,15,5,61,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,flat,15,5,61,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,logflat,15,5,61,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,61,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,logflat,15,5,66,23000.0,Medium,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,5,66,23000.0,Medium,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,5,66,23000.0,Medium,0.9509,0.049,0.0,Low,0.9509,contradicted
triplicate,censor,flat,15,5,66,23000.0,Medium,0.555,0.4443,0.0004,Low,0.555,refused
triplicate,pattern,logflat,15,5,76,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,15,5,76,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,15,5,76,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,76,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,15,5,103,23000.0,Medium,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,5,103,23000.0,Medium,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,5,103,23000.0,Medium,0.9509,0.049,0.0,Low,0.9509,contradicted
triplicate,censor,flat,15,5,103,23000.0,Medium,0.555,0.4443,0.0004,Low,0.555,refused
triplicate,pattern,logflat,15,5,104,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,15,5,104,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,15,5,104,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,104,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,15,5,118,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,15,5,118,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,15,5,118,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,118,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,15,5,128,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,flat,15,5,128,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,logflat,15,5,128,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,128,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,logflat,15,5,135,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,15,5,135,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,15,5,135,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,135,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,15,5,137,2300000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,flat,15,5,137,2300000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,logflat,15,5,137,2300000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,137,2300000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,logflat,15,5,138,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,15,5,138,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,15,5,138,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,138,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
