institute,arm,replicate,plating,plated_volume_ul,boundary_log10,n_rows,n_visits_observed,n_visits_not_observed,last_visit_day,start_log10,start_uses_day_zero,start_n_early_readings,day_zero_log10,day_one_log10,ever_crossed_below,first_observed_visit_below,n_crossings_below,n_returns_above,oscillates_more_than_once,terminal_state,returned_under_loose_rule,first_crossing_day,last_day_above_before_crossing,returned_above,day_of_first_return,days_below_before_return,longest_run_below_days,trajectory_class
B,MXF 10X MIC,1,10 uL four drops,10.0,2.0,7,6,1,14.0,2.69897000433602,False,1,,2.69897000433602,True,False,1,0,False,below,True,3.0,2.0,False,,,11.0,"one crossing, no return"
B,MXF 10X MIC,1,10 uL single drop,10.0,2.0,7,6,1,14.0,,False,0,,,True,True,0,0,False,below,True,1.0,,False,,,13.0,"one crossing, no return"
B,MXF 10X MIC,1,2.5 uL single drop,2.5,2.6020599913279625,7,6,1,14.0,2.60205999132796,False,1,,2.60205999132796,True,False,2,1,False,below,True,2.0,1.0,True,3.0,1.0,7.0,crosses repeatedly
B,MXF 10X MIC,2,100 uL quadruplicate,100.0,1.0,7,6,1,14.0,2.95424250943932,False,1,,2.95424250943932,True,False,1,0,False,below,True,10.0,7.0,False,,,4.0,"one crossing, no return"
B,MXF 10X MIC,2,10 uL four drops,10.0,2.0,7,6,1,14.0,3.0,False,1,,3.0,True,False,1,1,False,above,True,10.0,7.0,True,14.0,4.0,0.0,"one crossing, returns above"
B,MXF 10X MIC,2,10 uL single drop,10.0,2.0,7,6,1,14.0,3.30102999566398,False,1,,3.30102999566398,True,False,2,1,False,below,True,2.0,1.0,True,3.0,1.0,7.0,crosses repeatedly
B,MXF 10X MIC,2,2.5 uL single drop,2.5,2.6020599913279625,7,6,1,14.0,2.90308998699194,False,1,,2.90308998699194,True,False,3,2,True,below,True,2.0,1.0,True,3.0,1.0,0.0,crosses repeatedly
B,MXF 10X MIC,3,100 uL quadruplicate,100.0,1.0,7,6,1,14.0,2.77815125038364,False,1,,2.77815125038364,True,False,1,0,False,below,True,10.0,7.0,False,,,4.0,"one crossing, no return"
B,MXF 10X MIC,3,10 uL four drops,10.0,2.0,7,6,1,14.0,2.47712125471966,False,1,,2.47712125471966,True,False,1,0,False,below,True,7.0,3.0,False,,,7.0,"one crossing, no return"
B,MXF 10X MIC,3,10 uL single drop,10.0,2.0,7,6,1,14.0,,False,0,,,True,True,0,0,False,below,True,1.0,,False,,,13.0,"one crossing, no return"
B,MXF 10X MIC,3,2.5 uL single drop,2.5,2.6020599913279625,7,6,1,14.0,2.60205999132796,False,1,,2.60205999132796,True,False,1,0,False,below,True,3.0,2.0,False,,,11.0,"one crossing, no return"
B,MXF 1X MIC,1,100 uL quadruplicate,100.0,1.0,7,6,1,14.0,3.70757017609794,False,1,,3.70757017609794,True,False,1,1,False,above,True,2.0,1.0,True,3.0,1.0,0.0,"one crossing, returns above"
B,MXF 1X MIC,1,10 uL four drops,10.0,2.0,7,6,1,14.0,3.7481880270062,False,1,,3.7481880270062,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,MXF 1X MIC,1,10 uL single drop,10.0,2.0,7,6,1,14.0,3.60205999132796,False,1,,3.60205999132796,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,MXF 1X MIC,1,2.5 uL single drop,2.5,2.6020599913279625,7,6,1,14.0,3.44715803134222,False,1,,3.44715803134222,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,MXF 1X MIC,2,100 uL quadruplicate,100.0,1.0,7,6,1,14.0,,False,0,,,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,MXF 1X MIC,2,10 uL four drops,10.0,2.0,7,6,1,14.0,3.50514997831991,False,1,,3.50514997831991,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,MXF 1X MIC,2,10 uL single drop,10.0,2.0,7,6,1,14.0,3.90308998699194,False,1,,3.90308998699194,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,MXF 1X MIC,2,2.5 uL single drop,2.5,2.6020599913279625,7,6,1,14.0,3.55630250076729,False,1,,3.55630250076729,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,MXF 1X MIC,3,100 uL quadruplicate,100.0,1.0,7,6,1,14.0,3.25527250510331,False,1,,3.25527250510331,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,MXF 1X MIC,3,10 uL four drops,10.0,2.0,7,6,1,14.0,3.57978359661681,False,1,,3.57978359661681,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,MXF 1X MIC,3,10 uL single drop,10.0,2.0,7,6,1,14.0,3.60205999132796,False,1,,3.60205999132796,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,MXF 1X MIC,3,2.5 uL single drop,2.5,2.6020599913279625,7,6,1,14.0,3.20411998265592,False,1,,3.20411998265592,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,untreated,1,100 uL quadruplicate,100.0,1.0,8,7,1,14.0,3.60874197210695,True,2,3.74036268949424,3.47712125471966,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,untreated,1,10 uL four drops,10.0,2.0,8,7,1,14.0,3.31162464519895,True,2,3.47712125471966,3.14612803567824,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,untreated,1,10 uL single drop,10.0,2.0,8,7,1,14.0,3.6505149978319897,True,2,3.69897000433602,3.60205999132796,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,untreated,1,2.5 uL single drop,2.5,2.6020599913279625,8,7,1,14.0,3.579181246047625,True,2,3.55630250076729,3.60205999132796,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,untreated,2,100 uL quadruplicate,100.0,1.0,8,7,1,14.0,3.39794000867204,True,1,3.39794000867204,,True,False,1,1,False,above,True,2.0,1.0,True,3.0,1.0,0.0,"one crossing, returns above"
B,untreated,2,10 uL four drops,10.0,2.0,8,7,1,14.0,3.84509804001426,True,2,3.84509804001426,3.84509804001426,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,untreated,2,10 uL single drop,10.0,2.0,8,7,1,14.0,3.840620618687795,True,2,3.60205999132796,4.07918124604763,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,untreated,2,2.5 uL single drop,2.5,2.6020599913279625,8,7,1,14.0,3.75039258645873,True,2,3.64345267648619,3.85733249643127,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,untreated,3,100 uL quadruplicate,100.0,1.0,8,7,1,14.0,3.86332286012046,True,1,3.86332286012046,,True,False,1,1,False,above,True,1.0,0.0,True,2.0,1.0,0.0,"one crossing, returns above"
B,untreated,3,10 uL four drops,10.0,2.0,8,7,1,14.0,3.6505149978319897,True,2,3.69897000433602,3.60205999132796,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,untreated,3,10 uL single drop,10.0,2.0,8,7,1,14.0,3.759256969938945,True,2,3.47712125471966,4.04139268515823,False,False,0,0,False,above,False,,,False,,,,never below the boundary
B,untreated,3,2.5 uL single drop,2.5,2.6020599913279625,8,7,1,14.0,3.59987758862674,True,2,3.55630250076729,3.64345267648619,False,False,0,0,False,above,False,,,False,,,,never below the boundary
C,INH 10X MIC,1,100 uL quadruplicate,100.0,1.0,9,9,0,28.0,2.8266062568876698,True,2,4.17609125905568,1.47712125471966,True,False,1,0,False,below,False,2.0,1.0,False,,,26.0,"one crossing, no return"
C,INH 10X MIC,1,10 uL four drops,10.0,2.0,9,9,0,28.0,3.020696342579115,True,2,4.04139268515823,2.0,True,False,1,0,False,below,False,2.0,1.0,False,,,26.0,"one crossing, no return"
C,INH 10X MIC,1,10 uL single drop,10.0,2.0,9,9,0,28.0,4.25527250510331,True,1,4.25527250510331,,True,False,1,0,False,below,False,1.0,0.0,False,,,27.0,"one crossing, no return"
C,INH 10X MIC,1,2.5 uL single drop,2.5,2.6020599913279625,9,9,0,28.0,3.94448267215017,True,1,3.94448267215017,,True,False,1,0,False,below,False,1.0,0.0,False,,,27.0,"one crossing, no return"
C,INH 10X MIC,2,100 uL quadruplicate,100.0,1.0,9,9,0,28.0,2.88907562519182,True,2,4.77815125038364,1.0,True,False,1,0,False,below,False,2.0,1.0,False,,,26.0,"one crossing, no return"
C,INH 10X MIC,2,10 uL four drops,10.0,2.0,9,9,0,28.0,3.190105620855805,True,2,4.07918124604763,2.30102999566398,True,False,1,0,False,below,False,2.0,1.0,False,,,26.0,"one crossing, no return"
C,INH 10X MIC,2,10 uL single drop,10.0,2.0,9,9,0,28.0,3.127636252551655,True,2,4.25527250510331,2.0,True,False,1,0,False,below,False,2.0,1.0,False,,,26.0,"one crossing, no return"
C,INH 10X MIC,2,2.5 uL single drop,2.5,2.6020599913279625,9,9,0,28.0,3.92427928606188,True,1,3.92427928606188,,True,False,1,0,False,below,False,1.0,0.0,False,,,27.0,"one crossing, no return"
C,INH 10X MIC,3,100 uL quadruplicate,100.0,1.0,9,9,0,28.0,2.98656392679985,True,2,4.9731278535997,1.0,True,False,1,0,False,below,False,2.0,1.0,False,,,26.0,"one crossing, no return"
