AB_conc,nutrient_conc,population,time,clone,MIC,pers_frac
50,0.25,1,5,2,4,0.00029
50,0.25,1,5,3,4,0.00203
50,0.25,1,7,1,4,0.00175
50,0.25,1,7,2,2,0.00376
50,0.25,1,7,3,2,0.000892
50,0.25,1,8,1,2,0.000425
50,0.25,1,8,2,4,0.000391
50,0.25,1,8,3,4,0.000527
50,0.25,1,9,1,4,0.173
50,0.25,1,9,2,4,0.123
50,0.25,1,9,3,4,0.126
50,0.25,1,11,1,8,0.000727
50,0.25,1,11,2,8,0.0391
50,0.25,1,11,3,8,0.0016
50,0.25,1,15,1,8,0.0148
50,0.25,1,15,2,16,0.0274
50,0.25,1,15,3,8,0.00695
50,0.25,2,1,1,4,0.000208
50,0.25,2,1,2,2,0.000183
50,0.25,2,1,3,2,0.000122
50,0.25,2,3,1,2,0.00152
50,0.25,2,3,2,2,0.00293
50,0.25,2,3,3,2,0.00193
50,0.25,2,4,1,4,0.000243
50,0.25,2,4,2,4,0.00118
50,0.25,2,4,3,4,0.00112
50,0.25,2,5,1,1,0.00218
50,0.25,2,5,2,1,0.00395
50,0.25,2,5,3,1,0.00482
50,0.25,2,7,1,4,0.137
50,0.25,2,7,2,2,0.372
50,0.25,2,7,3,2,0.223
50,0.25,2,9,1,2,0.0607
50,0.25,2,9,2,1,0.0169
50,0.25,2,9,3,2,0.0739
50,0.25,2,15,1,2,0.0143
50,0.25,2,15,2,4,0.222
50,0.25,2,15,3,2,0.0336
50,0.5,1,1,1,2,0.000167
50,0.5,1,1,2,2,2.00E-04
50,0.5,1,1,3,2,0.000125
50,0.5,1,3,1,2,0.00483
50,0.5,1,3,2,2,0.00325
50,0.5,1,3,3,4,0.00646
50,0.5,1,5,1,4,0.00215
50,0.5,1,5,2,2,0.0112
50,0.5,1,5,3,2,0.0137
50,0.5,1,7,1,1,0.00133
50,0.5,1,7,2,1,0.00294
50,0.5,1,7,3,1,0.00525
50,0.5,1,9,1,1,0.010685447
50,0.5,1,9,2,1,0.018341674
50,0.5,1,9,3,2,0.019184028
50,0.5,1,15,1,2,0.01725
50,0.5,1,15,2,1,0.01901056
50,0.5,1,15,3,2,0.01071892
50,0.5,2,1,1,1,0.00234
50,0.5,2,1,2,1,0.0026
50,0.5,2,1,3,1,0.00129
50,0.5,2,2,1,2,0.000117
50,0.5,2,2,2,1,0.000115
50,0.5,2,2,3,2,6.15E-05
50,0.5,2,3,1,1,0.00234
50,0.5,2,3,2,2,0.00332
50,0.5,2,3,3,1,0.000938
50,0.5,2,5,1,2,0.000175
50,0.5,2,5,2,2,0.000854
50,0.5,2,5,3,2,0.00049
50,0.5,2,7,1,2,0.000651
50,0.5,2,7,2,2,0.000847
50,0.5,2,7,3,2,0.000532
50,0.5,2,8,1,1,0.000689
50,0.5,2,8,2,2,0.0293
50,0.5,2,8,3,2,0.00275
50,0.5,2,9,1,4,0.039846743
50,0.5,2,9,2,4,0.096984785
50,0.5,2,9,3,8,0.059880526
50,0.5,2,11,1,4,0.012
50,0.5,2,11,2,4,0.0196
50,0.5,2,11,3,4,0.000964
50,0.5,2,15,1,4,0.0361
50,0.5,2,15,2,4,0.0207
50,0.5,2,15,3,4,0.00878
100,0.25,1,1,1,1,0.000158
100,0.25,1,1,2,2,8.10E-05
100,0.25,1,1,3,1,0.00015
100,0.25,1,3,1,2,6.72E-05
100,0.25,1,3,2,2,0.000273
100,0.25,1,3,3,1,0.000154
100,0.25,1,5,1,4,0.0284
100,0.25,1,5,2,4,0.00286
100,0.25,1,5,3,4,0.0501
100,0.25,1,7,1,2,0.00183
100,0.25,1,7,2,2,0.00245
100,0.25,1,7,3,4,0.00145
100,0.25,1,9,1,2,0.00169
100,0.25,1,9,2,2,0.00688
100,0.25,1,9,3,1,0.00183
100,0.25,1,15,1,8,NA
100,0.25,1,15,2,8,NA
100,0.25,1,15,3,8,NA
100,0.25,2,1,1,1,0.00241
100,0.25,2,1,2,1,0.0021
100,0.25,2,1,3,1,0.00163
100,0.25,2,3,1,2,0.00153
100,0.25,2,3,2,2,0.00185
100,0.25,2,3,3,4,0.00138
100,0.25,2,5,1,2,0.0406
100,0.25,2,5,2,1,0.0509
100,0.25,2,5,3,1,0.0896
100,0.25,2,7,1,2,0.000543
100,0.25,2,7,2,1,0.00042
100,0.25,2,7,3,2,0.000415
100,0.25,2,9,1,2,0.0164
100,0.25,2,9,2,2,0.000271
100,0.25,2,9,3,2,0.031
100,0.25,2,10,1,1,0.0123
100,0.25,2,10,2,1,0.000203
100,0.25,2,10,3,1,0.0232
